Individual_ID	Site	Country	Region	Group_label	Latitude	Longitude	Data_source	Age_upper	Age_lower	Age_average	Dating	Sex	Y_haplogroup_major	Y_haplogroup_derived	Coverage	Average_GP	Flag	Cluster_ID	Cluster_fine	Cluster_global	Cluster_group
VK545	Ireland	Ireland	WesternEurope	Ireland_Medieval	53.34	-6.27	Margyaran_Nature_2020	1285	1085	1185	direct	XY	R1b	R1b1a1b1a1a2c1a1a1a1a1	1.93	0.994	0	1.2.1.1.1.1.1.2	EuropeNW_4000BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
VK543	Ireland	Ireland	WesternEurope	Ireland_Medieval	53.51	-10.13	Margyaran_Nature_2020	1050	950	1000	context	XY	R1a	R1a1a1a	1.04	0.995	0	1.1.3.2.1.1.2	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK544	Ireland	Ireland	WesternEurope	Ireland_Medieval	53.39	-6.3	Margyaran_Nature_2020	1050	950	1000	context	XX	NA	NA	1.64	0.994	0	1.1.3.4.2	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK24	Faroe	Faroes	NorthernEurope	Faroe_VikingAge	61.6	-6.96	Margyaran_Nature_2020	850	750	800	context	XY	R1b	R1b1a1b1a1a2c1a	0.2	0.988	0	1.2.1.2.1.3.1	EuropeNW_2000BP_650BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
VK234	Faroe	Faroes	NorthernEurope	Faroe_Historical	61.85	-6.8	Margyaran_Nature_2020	350	150	250	context	XY	R1b	R1b1a1b1a1	0.74	0.994	1d_rel_VK25	NA	NA	NA	NA
VK236	Faroe	Faroes	NorthernEurope	Faroe_Historical	61.85	-6.8	Margyaran_Nature_2020	350	150	250	context	XX	NA	NA	1.47	0.996	1d_rel_VK25	NA	NA	NA	NA
VK237	Faroe	Faroes	NorthernEurope	Faroe_Historical	61.85	-6.8	Margyaran_Nature_2020	350	150	250	context	XY	R1a	R1a1a1b1a3a1	1.71	0.996	0	1.4.1.2	Faroe_250BP	Eurasia_5000BP_200BP	Faroese
VK238	Faroe	Faroes	NorthernEurope	Faroe_Historical	61.85	-6.8	Margyaran_Nature_2020	350	150	250	context	XY	R1a	R1a1a1b1a3a2	1.41	0.995	0	1.4.2	Faroe_250BP	Eurasia_5000BP_200BP	Faroese
VK240	Faroe	Faroes	NorthernEurope	Faroe_Historical	61.85	-6.8	Margyaran_Nature_2020	350	150	250	context	XX	NA	NA	0.74	0.995	0	1.1.1.1.3.1	Europe_1100BP_250BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK241	Faroe	Faroes	NorthernEurope	Faroe_Historical	61.85	-6.8	Margyaran_Nature_2020	350	150	250	context	XX	NA	NA	0.79	0.993	0	1.4.1.1	Faroe_250BP	Eurasia_5000BP_200BP	Faroese
VK242	Faroe	Faroes	NorthernEurope	Faroe_Historical	61.85	-6.8	Margyaran_Nature_2020	350	150	250	context	XY	R1b	R1b1a1b1a1a2c1a1f	0.62	0.994	0	1.4.2	Faroe_250BP	Eurasia_5000BP_200BP	Faroese
VK244	Faroe	Faroes	NorthernEurope	Faroe_Historical	61.85	-6.8	Margyaran_Nature_2020	350	150	250	context	XY	R1a	R1a1a1b1a3a1	0.56	0.995	0	1.4.1.1	Faroe_250BP	Eurasia_5000BP_200BP	Faroese
VK245	Faroe	Faroes	NorthernEurope	Faroe_Historical	61.85	-6.8	Margyaran_Nature_2020	350	150	250	context	XY	R1a	R1a1a1b1a3a2b	1.12	0.995	0	1.1.1.1.3.1	Europe_1100BP_250BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK25	Faroe	Faroes	NorthernEurope	Faroe_Historical	61.85	-6.8	Margyaran_Nature_2020	350	150	250	context	XY	R1b	R1b1a1b1a1	1.97	0.996	0	1.4.2	Faroe_250BP	Eurasia_5000BP_200BP	Faroese
VK27	Faroe	Faroes	NorthernEurope	Faroe_Historical	61.85	-6.8	Margyaran_Nature_2020	350	150	250	context	XY	R1b	R1b1a1b1a1a2c1a	0.26	0.99	0	1.4.1.3	Faroe_250BP	Eurasia_5000BP_200BP	Faroese
VK44	Faroe	Faroes	NorthernEurope	Faroe_Historical	61.85	-6.8	Margyaran_Nature_2020	350	150	250	context	XY	R1b	R1b1a1b1a1a2c1a1a1a1a1	0.47	0.992	0	1.4.2	Faroe_250BP	Eurasia_5000BP_200BP	Faroese
VK45	Faroe	Faroes	NorthernEurope	Faroe_Historical	61.85	-6.8	Margyaran_Nature_2020	350	150	250	context	XY	R1a	R1a1a1b1a3	0.12	0.984	1d_rel_VK245	NA	NA	NA	NA
VK46	Faroe	Faroes	NorthernEurope	Faroe_Historical	61.85	-6.8	Margyaran_Nature_2020	350	150	250	context	XY	R1a	R1a1a1b1a3a2b	4.52	0.997	0	1.1.1.1.3.1	Europe_1100BP_250BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
NNM-A-1	Njarovik	Iceland	NorthernEurope	Iceland_VikingAge	65.58	-13.89	Ebenesersdottir_Science_2018	1080	950	1015	context	XY	R1a	R1a1a1b1a3a1	0.67	0.993	0	1.1.3.1.1.2.4	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
DKS-A-1	Ondverdarnes	Iceland	NorthernEurope	Iceland_VikingAge	64.91	-24.05	Ebenesersdottir_Science_2018	1100	950	1025	context	XY	R1a	R1a1a1b1a3a2	1.23	0.99	0	1.1.3.1.2.1.2	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
SSG-A-2	Silastadir	Iceland	NorthernEurope	Iceland_VikingAge	65.77	-18.21	Ebenesersdottir_Science_2018	1100	950	1025	context	XY	R1b	R1b1a1b1a1a2c1a5b1	10.22	0.998	0	1.2.1.1.1.1.1.4	EuropeNW_4000BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
SSG-A-3	Silastadir	Iceland	NorthernEurope	Iceland_VikingAge	65.77	-18.21	Ebenesersdottir_Science_2018	1100	950	1025	context	XY	I1a	I1a1b1	0.28	0.987	0	1.2.1.2.1.1.1	EuropeNW_2000BP_650BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
SSG-A-4	Silastadir	Iceland	NorthernEurope	Iceland_VikingAge	65.77	-18.21	Ebenesersdottir_Science_2018	1100	950	1025	context	XX	NA	NA	7.72	0.997	0	1.2.1.1.1.1.1.5	EuropeNW_4000BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
SSJ-A-2	Surtsstadir	Iceland	NorthernEurope	Iceland_VikingAge	65.54	-14.53	Ebenesersdottir_Science_2018	1100	950	1025	context	XY	I1a	I1a1b1	0.44	0.99	0	1.1.1.5.1.2	Europe_1900BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
SVK-A-1	Svinadalur	Iceland	NorthernEurope	Iceland_VikingAge	65.94	-16.57	Ebenesersdottir_Science_2018	1080	950	1015	context	XY	I1a	I1a1	1.99	0.996	0	1.1.3.1.1.2.1	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
FSS-A-1	Fremri-Svartardalur	Iceland	NorthernEurope	Iceland_VikingAge	65.32	-19.15	Ebenesersdottir_Science_2018	1080	950	1015	context	XX	NA	NA	1.25	0.995	0	1.1.1.1.1.1.1	Europe_1100BP_250BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
GTE-A-1	Gilsarteigur	Iceland	NorthernEurope	Iceland_VikingAge	65.37	-14.3	Ebenesersdottir_Science_2018	1080	950	1015	context	XY	R1a	R1a	0.33	0.984	0	1.2.1.2.1.1.2	EuropeNW_2000BP_650BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
GRS-A-1	Grimsstadir	Iceland	NorthernEurope	Iceland_VikingAge	65.64	-16.12	Ebenesersdottir_Science_2018	1080	950	1015	context	XY	R1a	R1a1a1b1a3a2	0.71	0.991	0	1.2.1.2.1.3.1	EuropeNW_2000BP_650BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
HSJ-A-1	Hrolfsstadir	Iceland	NorthernEurope	Iceland_VikingAge	65.4	-14.66	Ebenesersdottir_Science_2018	1080	950	1015	context	XY	I1a	I1a1b1a4a2	29.37	0.999	0	1.1.3.1.1.1.2.2	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
SBT-A-1	Smyrlaberg	Iceland	NorthernEurope	Iceland_VikingAge	65.6	-20.15	Ebenesersdottir_Science_2018	1080	950	1015	context	XY	I1a	I1a2a1a1a2~	6.98	0.997	0	1.2.1.1.1.1.2.2	EuropeNW_4000BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
DAV-A-8	Dalvik, Brimnes	Iceland	NorthernEurope	Iceland_VikingAge	65.97	-18.53	Ebenesersdottir_Science_2018	1050	950	1000	context	XX	NA	NA	4.53	0.996	0	1.1.5	Iceland_1000BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
DAV-A-9	Dalvik, Brimnes	Iceland	NorthernEurope	Iceland_VikingAge	65.97	-18.53	Ebenesersdottir_Science_2018	970	930	950	context	XY	I1a	I1a1	0.61	0.989	0	1.1.5	Iceland_1000BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
STT-A-2	Straumur	Iceland	NorthernEurope	Iceland_VikingAge	65.43	-14.4	Ebenesersdottir_Science_2018	1050	950	1000	context	XY	R1b	R1b1a1b1a1a2c1a	14.11	0.999	0	1.2.1.1.1.2.3	EuropeNW_4000BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
VDP-A-5	Vatnsdalur	Iceland	NorthernEurope	Iceland_VikingAge	65.42	-20.29	Ebenesersdottir_Science_2018	1100	900	1000	context	XX	NA	NA	3.79	0.996	0	1.1.3.4.1.1	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VDP-A-6	Vatnsdalur	Iceland	NorthernEurope	Iceland_VikingAge	65.42	-20.29	Ebenesersdottir_Science_2018	1100	900	1000	context	XY	R1a	R1a1a1b1a3a1	4.59	0.998	0	1.1.1.1.1.1.1	Europe_1100BP_250BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VDP-A-7	Vatnsdalur	Iceland	NorthernEurope	Iceland_VikingAge	65.42	-20.29	Ebenesersdottir_Science_2018	1100	900	1000	context	XY	R1b	R1b1a1b1a1a1b	3.85	0.997	0	1.1.3.4.1.1	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
MKR-A-1	Vidar, Masvatn	Iceland	NorthernEurope	Iceland_VikingAge	65.65	-17.31	Ebenesersdottir_Science_2018	1080	950	1015	context	XY	R1a	R1a1a1b	0.31	0.982	0	1.2.1.2.1.1.4	EuropeNW_2000BP_650BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
YGS-B-2	Ytra-Gardshorn	Iceland	NorthernEurope	Iceland_VikingAge	65.9	-18.6	Ebenesersdottir_Science_2018	1080	950	1015	context	XXY	NA	NA	1.97	0.995	0	1.1.3.2.1.1.1	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
TGS-A-1	Tunga	Iceland	NorthernEurope	Iceland_VikingAge	65.54	-20.62	Ebenesersdottir_Science_2018	1053	926	990	direct	XY	R1b	R1b1a1b1a1a2d	1.21	0.996	0	1.1.3.1.1.2.5	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
KNS-A-1	Karlsnes	Iceland	NorthernEurope	Iceland_VikingAge	64	-20.15	Ebenesersdottir_Science_2018	1000	900	950	context	XY	R1b	R1b1a1b1a1a2c	1.14	0.994	0	1.2.1.1.1.2.2	EuropeNW_4000BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
VK127	Iceland	Iceland	NorthernEurope	Iceland_VikingAge	65.71	-23.75	Margyaran_Nature_2020	950	850	900	context	XY	R1a	R1a1a1b1a3a2b	1.1	0.992	0	1.1.3.4.1.2	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK128	Iceland	Iceland	NorthernEurope	Iceland_VikingAge	65.71	-23.75	Margyaran_Nature_2020	950	850	900	context	XX	NA	NA	1.52	0.996	0	1.1.3.3.1.1	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK129	Iceland	Iceland	NorthernEurope	Iceland_VikingAge	65.79	-17.34	Margyaran_Nature_2020	950	850	900	context	XY	R1a	R1a1a1b1a3a1	3.78	0.996	0	1.1.3.1.2.2.2	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
TSK-A-26	Skeljastadir	Iceland	NorthernEurope	Iceland_VikingAge	64.12	-19.81	Ebenesersdottir_Science_2018	900	750	825	context	XY	R1a	R1a1a1b1a3	0.94	0.992	0	1.2.1.1.1.2.1	EuropeNW_4000BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
VK101	Iceland	Iceland	NorthernEurope	Iceland_VikingAge	65.61	-17.16	Margyaran_Nature_2020	950	550	750	context	XY	R1b	R1b1a1b1a1a2d	2.02	0.995	0	1.1.3.2.1.2.1	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK102	Iceland	Iceland	NorthernEurope	Iceland_VikingAge	65.61	-17.16	Margyaran_Nature_2020	950	550	750	context	XY	R1b	R1b1a1b1a1	4.36	0.998	0	1.1.3.5	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK110	Iceland	Iceland	NorthernEurope	Iceland_VikingAge	65.61	-17.16	Margyaran_Nature_2020	950	550	750	context	XY	I1a	I1a1	1.87	0.996	1d_rel_VK230	NA	NA	NA	NA
VK111	Iceland	Iceland	NorthernEurope	Iceland_VikingAge	65.61	-17.16	Margyaran_Nature_2020	950	550	750	context	XX	NA	NA	1.1	0.994	1d_rel_VK230	NA	NA	NA	NA
VK122	Iceland	Iceland	NorthernEurope	Iceland_VikingAge	65.61	-17.16	Margyaran_Nature_2020	950	550	750	context	XX	NA	NA	1.33	0.996	0	1.1.3.2.1.2.1	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK123	Iceland	Iceland	NorthernEurope	Iceland_VikingAge	65.61	-17.16	Margyaran_Nature_2020	950	550	750	context	XY	R2	R2	1.2	0.995	0	1.2.1.1.3.2	EuropeNW_4000BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
VK225	Iceland	Iceland	NorthernEurope	Iceland_VikingAge	65.61	-17.16	Margyaran_Nature_2020	950	550	750	context	XY	R1a	R1a1a1b1a3a2	0.62	0.994	0	1.1.3.5	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK227	Iceland	Iceland	NorthernEurope	Iceland_VikingAge	65.61	-17.16	Margyaran_Nature_2020	950	550	750	context	XX	NA	NA	0.55	0.994	0	1.1.3.1.1.2.6	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK230	Iceland	Iceland	NorthernEurope	Iceland_VikingAge	65.61	-17.16	Margyaran_Nature_2020	950	550	750	context	XX	NA	NA	2.56	0.996	0	1.1.1.1.3.1	Europe_1100BP_250BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK95	Iceland	Iceland	NorthernEurope	Iceland_VikingAge	65.61	-17.16	Margyaran_Nature_2020	950	550	750	context	XY	R1b	R1b1a1b1a1a2c1a1a1a1a1	1.38	0.997	0	1.2.1.1.1.1.2.3	EuropeNW_4000BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeW
VK98	Iceland	Iceland	NorthernEurope	Iceland_VikingAge	65.61	-17.16	Margyaran_Nature_2020	950	550	750	context	XY	I1a	I1a1b1a4a2	2.61	0.997	0	1.1.3.2.1.1.3	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK99	Iceland	Iceland	NorthernEurope	Iceland_VikingAge	65.61	-17.16	Margyaran_Nature_2020	950	550	750	context	XX	NA	NA	0.76	0.996	0	1.1.1.1.1.2.1	Europe_1100BP_250BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
FOV-A-1	Fossvellir	Iceland	NorthernEurope	Iceland_Medieval	65.45	-14.6	Ebenesersdottir_Science_2018	704	567	636	direct	XY	R1b	R1b1a1b1a1a2c1a1a	0.87	0.992	0	1.1.3.1.1.2.1	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
KOV-A-2	Kopavogur	Iceland	NorthernEurope	Iceland_Historical	64.11	-21.91	Ebenesersdottir_Science_2018	272	200	236	direct	XY	R1b	R1b1a1b1a1	0.69	0.992	0	1.1.1.1.1.2.1	Europe_1100BP_250BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK186	Greenland	Greenland	NorthernEurope	Greenland_VikingAge	60.99	-45.42	Margyaran_Nature_2020	977	829	903	direct	XY	I1	I1	0.85	0.996	0	1.1.3.2.1.1.1	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK1	Greenland	Greenland	NorthernEurope	Greenland_VikingAge	60.99	-45.42	Margyaran_Nature_2020	950	750	850	context	XX	NA	NA	12.1	0.999	0	1.1.3.2.1.2.2	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK6	Greenland	Greenland	NorthernEurope	Greenland_VikingAge	60.99	-45.42	Margyaran_Nature_2020	950	750	850	context	XX	NA	NA	3.05	0.998	0	1.1.1.3.2.9	Europe_1600BP_500BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK187	Greenland	Greenland	NorthernEurope	Greenland_VikingAge	60.99	-45.42	Margyaran_Nature_2020	899	798	849	direct	XX	NA	NA	0.93	0.994	0	1.1.3.3.2.1	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK513	Greenland	Greenland	NorthernEurope	Greenland_VikingAge	61.18	-45.68	Margyaran_Nature_2020	950	650	800	context	XY	R1a	R1a1a1a	2.35	0.997	0	1.1.3.4.1.3	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK179	Greenland	Greenland	NorthernEurope	Greenland_VikingAge	61.18	-45.68	Margyaran_Nature_2020	950	650	800	context	XY	I1	I1	1.92	0.996	0	1.1.3.3.2.2	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK183	Greenland	Greenland	NorthernEurope	Greenland_VikingAge	61.18	-45.68	Margyaran_Nature_2020	950	650	800	context	XY	I1	I1	0.56	0.994	0	1.1.3.3.2.1	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK184	Greenland	Greenland	NorthernEurope	Greenland_VikingAge	61.18	-45.68	Margyaran_Nature_2020	950	650	800	context	XY	R1a	R1a1a1b1a3a1	1.37	0.995	0	1.1.3.4.2	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK75	Greenland	Greenland	NorthernEurope	Greenland_VikingAge	64.25	-50.1	Margyaran_Nature_2020	675	633	654	direct	XY	R1b	R1b1a1b1a1	0.29	0.991	0	1.1.3.3.1.2	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
VK190	Greenland	Greenland	NorthernEurope	Greenland_VikingAge	60.55	-45.34	Margyaran_Nature_2020	630	545	588	direct	XY	I1	I1	6.78	0.997	0	1.1.3.3.1.1	EuropeAtlantic_1800BP_600BP	Eurasia_5000BP_200BP	PostNeol_EuropeN
NEO254	Koelbjerg	Denmark	NorthernEurope	Denmark_Mesolithic	55.404	10.133	thisStudy	10648	10282	10465	direct	XY	I2a	I2a1b	0.42	0.99	0	4.2.1.2.4	Denmark_10500BP_6000BP	Europe_15000BP_4000BP	HG_EuropeW
NEO13	Hedegaard (Bislev)	Denmark	NorthernEurope	Denmark_Mesolithic	56.907	9.576	thisStudy	9546	9475	9511	direct	XY	I	I	0.01	0.955	lowcov;lowGpAvg	NA	NA	NA	NA
NEO91	Strøby Grøftemark	Denmark	NorthernEurope	Denmark_Mesolithic	55.393	12.307	thisStudy	9265	9002	9134	direct	XY	I2a	I2a1a2	1.18	0.993	0	4.2.1.1.15	Denmark_10500BP_6000BP	Europe_15000BP_4000BP	HG_EuropeW
NEO759	Køge Sønakke	Denmark	NorthernEurope	Denmark_Mesolithic	55.402	12.367	thisStudy	9264	8816	9040	direct	XY	I2	I2	2.95	0.995	0	4.2.1.1.11	Denmark_10500BP_6000BP	Europe_15000BP_4000BP	HG_EuropeW
NEO587	Kongemose	Denmark	NorthernEurope	Denmark_Mesolithic	55.583	11.551	thisStudy	7475	7321	7398	direct	XY	I2a	I2a1a2	1.14	0.993	2d_rel_NEO932;ageUnreliable	NA	NA	NA	NA
NEO123	Orehoved Sejlrende	Denmark	NorthernEurope	Denmark_Mesolithic	54.96	11.85	thisStudy	8321	8034	8178	direct	XX	NA	NA	0.29	0.989	0	4.2.1.2.3	Denmark_10500BP_6000BP	Europe_15000BP_4000BP	HG_EuropeW
NEO122	Orehoved Sejlrende	Denmark	NorthernEurope	Denmark_Mesolithic	54.96	11.85	thisStudy	8303	8009	8156	direct	XX	NA	NA	0.56	0.99	0	4.2.1.2.2	Denmark_10500BP_6000BP	Europe_15000BP_4000BP	HG_EuropeW
NEO19	Rønsten	Denmark	NorthernEurope	Denmark_Mesolithic	56.27	10.472	thisStudy	8317	8027	8172	direct	XY	I2a	I2a1b	3.26	0.996	0	4.2.1.1.2	Denmark_10500BP_6000BP	Europe_15000BP_4000BP	HG_EuropeW
NEO600	Vedbaek boldbaner	Denmark	NorthernEurope	Denmark_Mesolithic	55.848	12.56	thisStudy	7935	7694	7815	direct	XY	I2	I2	0.1	0.983	lowcov	NA	NA	NA	NA
NEO683	Tybrind Vig	Denmark	NorthernEurope	Denmark_Mesolithic	55.395	9.826	thisStudy	7612	7430	7521	direct	XX	NA	NA	1.82	0.993	0	4.2.1.1.8	Denmark_10500BP_6000BP	Europe_15000BP_4000BP	HG_EuropeW
NEO932	Tudse Hage	Denmark	NorthernEurope	Denmark_Mesolithic	55.249	11.228	thisStudy	7475	7321	7398	direct	XX	NA	NA	2.76	0.994	0	4.2.1.1.1	Denmark_10500BP_6000BP	Europe_15000BP_4000BP	HG_EuropeW
NEO589	Korsør Nor	Denmark	NorthernEurope	Denmark_Mesolithic	55.331	11.145	thisStudy	7616	7334	7475	direct	XY	I2a	I2a1a2	7.41	0.996	0	4.2.1.1.6	Denmark_10500BP_6000BP	Europe_15000BP_4000BP	HG_EuropeW
NEO791	Korsør Nor	Denmark	NorthernEurope	Denmark_Mesolithic	55.331	11.145	thisStudy	7161	6905	7033	direct	XY	I2	I2	2.49	0.996	0	4.2.1.1.1	Denmark_10500BP_6000BP	Europe_15000BP_4000BP	HG_EuropeW
NEO814	Bodal K	Denmark	NorthernEurope	Denmark_Mesolithic	55.586	11.538	thisStudy	7251	6979	7115	direct	XX	NA	NA	0.06	0.975	lowcov;lowGpAvg	NA	NA	NA	NA
NEO748	Henriksholm-Bøgebakken (Vedbæk)	Denmark	NorthernEurope	Denmark_Mesolithic	55.853	12.559	thisStudy	7307	6951	7129	direct	XY	I2	I2	0.08	0.973	lowcov;lowGpAvg	NA	NA	NA	NA
NEO749	Henriksholm-Bøgebakken (Vedbæk)	Denmark	NorthernEurope	Denmark_Mesolithic	55.853	12.559	thisStudy	7258	6885	7072	direct	XY	I2a	I2a1a2	1.91	0.994	0	4.2.1.1.10	Denmark_10500BP_6000BP	Europe_15000BP_4000BP	HG_EuropeW
NEO746	Henriksholm-Bøgebakken (Vedbæk)	Denmark	NorthernEurope	Denmark_Mesolithic	55.853	12.559	thisStudy	7166	6805	6986	direct	XY	I	I	0.14	0.975	contNuc_5pct;lowGpAvg	NA	NA	NA	NA
NEO745	Henriksholm-Bøgebakken (Vedbæk)	Denmark	NorthernEurope	Denmark_Mesolithic	55.853	12.559	thisStudy	6936	6666	6801	direct	XY	I2	I2	0.45	0.984	0	4.2.1.2.1	Denmark_10500BP_6000BP	Europe_15000BP_4000BP	HG_EuropeW
NEO747	Henriksholm-Bøgebakken (Vedbæk)	Denmark	NorthernEurope	Denmark_Mesolithic	55.853	12.559	thisStudy	6892	6563	6728	direct	XY	I2a	I2a1b	0.25	0.983	0	4.2.1.2.1	Denmark_10500BP_6000BP	Europe_15000BP_4000BP	HG_EuropeW
NEO586	Koed	Denmark	NorthernEurope	Denmark_Mesolithic	56.371	10.573	thisStudy	7161	6898	7030	direct	XY	I2	I2	0.2	0.988	0	4.2.1.2.6	Denmark_10500BP_6000BP	Europe_15000BP_4000BP	HG_EuropeW
NEO583	Koed	Denmark	NorthernEurope	Denmark_Mesolithic	56.371	10.573	thisStudy	7158	6802	6980	direct	XX	NA	NA	0.18	0.981	0	4.2.1.2.5	Denmark_10500BP_6000BP	Europe_15000BP_4000BP	HG_EuropeW
NEO822	Dragsholm	Denmark	NorthernEurope	Denmark_Mesolithic	55.768	11.388	thisStudy	7159	6787	6973	direct	XX	NA	NA	0.06	0.973	lowcov;lowGpAvg	NA	NA	NA	NA
NEO733	Dragsholm	Denmark	NorthernEurope	Denmark_Mesolithic	55.768	11.388	thisStudy	6891	6746	6819	direct	XX	NA	NA	1.32	0.993	0	4.2.1.1.9	Denmark_10500BP_6000BP	Europe_15000BP_4000BP	HG_EuropeW
NEO732	Dragsholm	Denmark	NorthernEurope	Denmark_Mesolithic	55.768	11.388	thisStudy	6886	6737	6812	direct	XX	NA	NA	0.13	0.985	1d_rel_NEO733	NA	NA	NA	NA
NEO930	Fannerup F	Denmark	NorthernEurope	Denmark_Mesolithic	56.4	10.714	thisStudy	6988	6796	6892	direct	XY	I2	I2	0.05	0.972	lowcov;lowGpAvg	NA	NA	NA	NA
NEO855	Fannerup D	Denmark	NorthernEurope	Denmark_Mesolithic	56.401	10.715	thisStudy	6394	6203	6299	direct	XY	I2a	I2a1b1a2	1.38	0.995	0	4.2.1.1.13	Denmark_10500BP_6000BP	Europe_15000BP_4000BP	HG_EuropeW
NEO570	Fannerup E	Denmark	NorthernEurope	Denmark_Mesolithic	56.401	10.718	thisStudy	6449	6294	6372	direct	XX	NA	NA	2.86	0.995	0	4.2.1.1.5	Denmark_10500BP_6000BP	Europe_15000BP_4000BP	HG_EuropeW
NEO568	Ertebølle	Denmark	NorthernEurope	Denmark_Mesolithic	56.812	9.179	thisStudy	6392	6202	6297	direct	XY	I2	I2	1.98	0.994	0	4.2.1.1.4	Denmark_10500BP_6000BP	Europe_15000BP_4000BP	HG_EuropeW
NEO569	Ertebølle	Denmark	NorthernEurope	Denmark_Mesolithic	56.812	9.179	thisStudy	6287	6002	6145	direct	XY	I2	I2	0.67	0.993	1d_rel_NEO568	NA	NA	NA	NA
NEO856	Nederst	Denmark	NorthernEurope	Denmark_Mesolithic	56.365	10.643	thisStudy	6888	6667	6778	direct	XX	NA	NA	0.56	0.993	0	4.2.1.1.14	Denmark_10500BP_6000BP	Europe_15000BP_4000BP	HG_EuropeW
NEO1	Holmegård-Djursland	Denmark	NorthernEurope	Denmark_Mesolithic	56.251	10.755	thisStudy	6735	6452	6594	direct	XY	I2	I2	0.02	0.954	contMT_5pct;lowcov;lowGpAvg	NA	NA	NA	NA
